0.720,0.722,0.722,0.720,0.741
0.754,0.762,0.762,0.754,0.777
0.395,0.393,0.393,0.395,0.873
0.818,0.741,0.741,0.818,0.856
0.557,0.929,0.929,0.557,0.813
0.288,0.400,0.400,0.288,0.644
0.367,0.514,0.514,0.367,0.546
0.445,0.558,0.558,0.445,0.571
0.319,0.325,0.325,0.319,0.663
0.104,0.191,0.191,0.104,0.643
0.326,0.272,0.272,0.326,0.543
0.481,0.366,0.366,0.481,0.474
0.426,0.387,0.387,0.426,0.479
0.366,0.321,0.321,0.366,0.421
0.391,0.371,0.371,0.391,0.462
0.268,0.315,0.315,0.268,0.521
0.594,0.413,0.413,0.594,0.452
0.313,0.264,0.264,0.313,0.305
0.369,0.299,0.299,0.369,0.336
0.488,0.391,0.391,0.488,0.420
0.541,0.447,0.447,0.541,0.464
0.457,0.374,0.374,0.457,0.382
0.319,0.300,0.300,0.319,0.322
0.221,0.188,0.188,0.221,0.267
