0.572,0.591,0.591,0.572,0.796
0.271,0.288,0.288,0.271,0.819
0.115,0.164,0.164,0.115,0.769
0.339,0.725,0.725,0.339,0.899
0.553,0.867,0.867,0.553,0.910
0.438,0.923,0.923,0.438,0.938
0.685,0.785,0.785,0.685,0.843
0.670,0.705,0.705,0.670,0.758
0.596,0.617,0.617,0.596,0.806
0.431,0.831,0.831,0.431,0.887
0.548,0.765,0.765,0.548,0.780
0.651,0.827,0.827,0.651,0.782
0.650,0.816,0.816,0.650,0.785
0.674,0.734,0.734,0.674,0.775
0.509,0.749,0.749,0.509,0.731
0.541,0.745,0.745,0.541,0.759
0.545,0.818,0.818,0.545,0.802
0.667,0.794,0.794,0.667,0.796
0.723,0.847,0.847,0.723,0.720
0.649,0.834,0.834,0.649,0.753
0.352,0.748,0.748,0.352,0.474
0.129,0.535,0.535,0.129,0.632
0.203,0.411,0.411,0.203,0.575
,0.246,0.246,,0.246
