0.627,0.723,0.627,0.723
0.108,0.133,0.108,0.133
0.013,0.013,0.013,0.013
0.264,0.261,0.264,0.261
0.407,0.408,0.407,0.408
0.583,0.583,0.583,0.583
0.733,0.736,0.733,0.736
0.685,0.689,0.685,0.689
0.684,0.684,0.684,0.684
0.557,0.564,0.557,0.564
0.608,0.614,0.608,0.614
0.542,0.542,0.542,0.542
0.497,0.504,0.497,0.504
0.526,0.540,0.526,0.540
0.177,0.177,0.177,0.177
