0.771,0.771,0.771,0.771,0.776,0.771,0.856,0.771,0.829,0.771,0.899,0.771,0.829,0.771,0.771
0.858,0.858,0.858,0.858,0.865,0.858,0.858,0.858,0.850,0.858,0.850,0.858,0.874,0.858,0.858
0.519,0.511,0.511,0.519,0.511,0.519,0.771,0.519,0.775,0.519,0.819,0.519,0.767,0.519,0.511
0.268,0.292,0.293,0.268,0.303,0.268,0.537,0.268,0.529,0.268,0.541,0.268,0.544,0.268,0.292
0.371,0.398,0.402,0.371,0.414,0.371,0.506,0.371,0.498,0.371,0.485,0.371,0.464,0.371,0.398
0.619,0.679,0.692,0.619,0.679,0.619,0.640,0.619,0.622,0.619,0.640,0.619,0.635,0.619,0.679
0.445,0.417,0.467,0.445,0.440,0.445,0.455,0.445,0.444,0.445,0.442,0.445,0.448,0.445,0.417
0.449,0.476,0.495,0.449,0.497,0.449,0.497,0.449,0.484,0.449,0.476,0.449,0.491,0.449,0.476
0.489,0.484,0.563,0.489,0.484,0.489,0.469,0.489,0.452,0.489,0.458,0.489,0.457,0.489,0.484
0.362,0.447,0.504,0.362,0.473,0.362,0.511,0.362,0.523,0.362,0.516,0.362,0.523,0.362,0.447
0.282,0.368,0.442,0.282,0.409,0.282,0.524,0.282,0.525,0.282,0.511,0.282,0.523,0.282,0.368
0.394,0.438,0.566,0.394,0.471,0.394,0.574,0.394,0.543,0.394,0.556,0.394,0.552,0.394,0.438
0.639,0.562,0.649,0.639,0.577,0.639,0.626,0.639,0.601,0.639,0.606,0.639,0.601,0.639,0.562
0.252,0.235,0.254,0.252,0.270,0.252,0.776,0.252,0.800,0.252,0.768,0.252,0.783,0.252,0.235
0.415,0.365,0.433,0.415,0.365,0.415,0.643,0.415,0.626,0.415,0.638,0.415,0.638,0.415,0.365
0.428,0.383,0.430,0.428,0.405,0.428,0.771,0.428,0.736,0.428,0.729,0.428,0.742,0.428,0.383
0.555,0.441,0.561,0.555,0.463,0.555,0.699,0.555,0.677,0.555,0.683,0.555,0.691,0.555,0.441
0.404,0.293,0.406,0.404,0.293,0.404,0.730,0.404,0.747,0.404,0.732,0.404,0.729,0.404,0.293
0.292,0.287,0.334,0.292,0.304,0.292,0.890,0.292,0.872,0.292,0.890,0.292,0.882,0.292,0.287
0.369,0.335,0.384,0.369,0.352,0.369,0.899,0.369,0.906,0.369,0.897,0.369,0.881,0.369,0.335
0.319,0.378,0.390,0.319,0.387,0.319,0.810,0.319,0.793,0.319,0.798,0.319,0.798,0.319,0.378
0.314,0.372,0.398,0.314,0.386,0.314,0.844,0.314,0.846,0.314,0.846,0.314,0.830,0.314,0.372
0.230,0.296,0.299,0.230,0.313,0.230,0.718,0.230,0.714,0.230,0.713,0.230,0.711,0.230,0.296
0.286,0.378,0.378,0.286,0.415,0.286,0.745,0.286,0.729,0.286,0.733,0.286,0.730,0.286,0.378
0.374,0.404,0.404,0.374,0.426,0.374,0.617,0.374,0.571,0.374,0.588,0.374,0.588,0.374,0.404
0.252,0.252,0.252,0.252,0.511,0.252,0.476,0.252,0.246,0.252,0.243,0.252,0.250,0.252,0.252
,,
