0.506,0.513,0.510
0.281,0.280,0.281
0.327,0.368,0.336
0.269,0.113,0.135
0.295,0.154,0.166
0.351,0.335,0.371
0.361,0.547,0.544
0.366,0.524,0.522
0.334,0.473,0.473
0.424,0.469,0.462
0.174,0.174,0.174
