0.771,0.771,0.771,0.771,0.770,0.771,0.827,0.771,0.835,0.771,0.839,0.771,0.859,0.771,0.771
0.721,0.721,0.721,0.721,0.739,0.721,0.723,0.721,0.672,0.721,0.655,0.721,0.656,0.721,0.721
0.691,0.693,0.693,0.691,0.613,0.691,0.610,0.691,0.632,0.691,0.602,0.691,0.598,0.691,0.613
0.711,0.396,0.473,0.711,0.298,0.711,0.308,0.711,0.300,0.711,0.301,0.711,0.297,0.711,0.286
0.258,0.304,0.329,0.258,0.300,0.258,0.305,0.258,0.284,0.258,0.285,0.258,0.282,0.258,0.285
0.215,0.264,0.271,0.215,0.257,0.215,0.329,0.215,0.326,0.215,0.330,0.215,0.315,0.215,0.246
0.243,0.258,0.284,0.243,0.260,0.243,0.308,0.243,0.295,0.243,0.294,0.243,0.293,0.243,0.255
0.243,0.176,0.246,0.243,0.162,0.243,0.351,0.243,0.333,0.243,0.326,0.243,0.325,0.243,0.150
0.191,0.159,0.197,0.191,0.097,0.191,0.168,0.191,0.159,0.191,0.157,0.191,0.163,0.191,0.097
0.147,0.159,0.162,0.147,0.128,0.147,0.169,0.147,0.154,0.147,0.154,0.147,0.154,0.147,0.116
0.122,0.161,0.162,0.122,0.158,0.122,0.185,0.122,0.174,0.122,0.175,0.122,0.172,0.122,0.152
0.133,0.223,0.223,0.133,0.237,0.133,0.209,0.133,0.210,0.133,0.209,0.133,0.208,0.133,0.222
0.136,0.136,0.136,0.136,0.138,0.136,0.199,0.136,0.177,0.136,0.174,0.136,0.175,0.136,0.128
