0.566,0.566,0.566,0.566,0.598,0.566,0.764,0.566,0.805,0.566,0.811,0.566,0.808,0.566,0.566
0.581,0.581,0.581,0.581,0.580,0.581,0.876,0.581,0.879,0.581,0.875,0.581,0.844,0.581,0.581
0.789,0.789,0.789,0.789,0.789,0.789,0.670,0.789,0.756,0.789,0.739,0.789,0.768,0.789,0.789
0.489,0.518,0.518,0.489,0.357,0.489,0.417,0.489,0.403,0.489,0.405,0.489,0.406,0.489,0.345
0.439,0.485,0.485,0.439,0.351,0.439,0.342,0.439,0.329,0.439,0.334,0.439,0.341,0.439,0.332
0.393,0.416,0.416,0.393,0.292,0.393,0.378,0.393,0.352,0.393,0.360,0.393,0.366,0.393,0.292
0.243,0.290,0.290,0.243,0.298,0.243,0.339,0.243,0.322,0.243,0.327,0.243,0.323,0.243,0.276
0.260,0.373,0.373,0.260,0.349,0.260,0.370,0.260,0.365,0.260,0.361,0.260,0.363,0.260,0.337
0.246,0.278,0.278,0.246,0.265,0.246,0.310,0.246,0.302,0.246,0.302,0.246,0.301,0.246,0.265
0.230,0.234,0.234,0.230,0.233,0.230,0.267,0.230,0.254,0.230,0.256,0.230,0.257,0.230,0.221
0.341,0.342,0.342,0.341,0.299,0.341,0.313,0.341,0.296,0.341,0.298,0.341,0.301,0.341,0.289
0.271,0.281,0.281,0.271,0.205,0.271,0.257,0.271,0.246,0.271,0.248,0.271,0.249,0.271,0.205
0.204,0.284,0.284,0.204,0.300,0.204,0.339,0.204,0.323,0.204,0.322,0.204,0.323,0.204,0.279
0.181,0.194,0.194,0.181,0.214,0.181,0.274,0.181,0.270,0.181,0.263,0.181,0.263,0.181,0.192
0.149,0.197,0.197,0.149,0.184,0.149,0.229,0.149,0.221,0.149,0.217,0.149,0.218,0.149,0.184
0.079,0.097,0.097,0.079,0.112,0.079,0.177,0.079,0.178,0.079,0.172,0.079,0.171,0.079,0.096
0.055,0.110,0.110,0.055,0.126,0.055,0.168,0.055,0.157,0.055,0.156,0.055,0.156,0.055,0.107
0.088,0.200,0.200,0.088,0.198,0.088,0.222,0.088,0.206,0.088,0.204,0.088,0.207,0.088,0.198
0.195,0.259,0.259,0.195,0.221,0.195,0.172,0.195,0.156,0.195,0.156,0.195,0.153,0.195,0.210
0.165,0.247,0.247,0.165,0.258,0.165,0.205,0.165,0.201,0.165,0.195,0.165,0.199,0.165,0.234
0.246,0.271,0.271,0.246,0.208,0.246,0.192,0.246,0.166,0.246,0.172,0.246,0.170,0.246,0.208
0.166,0.196,0.196,0.166,0.156,0.166,0.131,0.166,0.116,0.166,0.114,0.166,0.114,0.166,0.132
0.172,0.177,0.177,0.172,0.127,0.172,0.117,0.172,0.106,0.172,0.104,0.172,0.105,0.172,0.099
0.144,0.144,0.144,0.144,0.047,0.144,0.094,0.144,0.068,0.144,0.069,0.144,0.071,0.144,0.047
0.092,0.092,0.092,0.092,0.044,0.092,0.064,0.092,0.045,0.092,0.044,0.092,0.046,0.092,0.033
0.038,0.038,0.038,0.038,0.049,0.038,0.051,0.038,0.044,0.038,0.043,0.038,0.043,0.038,0.038
